source,cid,category description,sub_batch_name
jd,1524,母婴>营养辅食(父级类目),食品-母婴
jd,7055,母婴>营养辅食>DHA,食品-母婴
jd,12191,母婴>营养辅食>宝宝零食,食品-母婴
jd,22377,母婴>营养辅食>宝宝乳铁蛋白粉,食品-母婴
jd,1538,母婴>营养辅食>钙铁锌/维生素,食品-母婴
jd,1534,母婴>营养辅食>果泥/果汁,食品-母婴
jd,1533,母婴>营养辅食>米粉/菜粉,食品-母婴
jd,9399,母婴>营养辅食>面条/粥,食品-母婴
jd,1539,母婴>营养辅食>清火/开胃,食品-母婴
jd,1537,母婴>营养辅食>益生菌/初乳,饮料-母婴
jd,1320,食品饮料(父级类目),食品
jd,1581,食品饮料>地方特产(父级类目),食品
jd,2644,食品饮料>地方特产>北京,食品
jd,4693,食品饮料>地方特产>东北,食品
jd,2653,食品饮料>地方特产>福建,食品
jd,2656,食品饮料>地方特产>湖南,食品
jd,2648,食品饮料>地方特产>内蒙古,食品
jd,12217,食品饮料>地方特产>其他特产,食品
jd,2647,食品饮料>地方特产>山西,食品
jd,2669,食品饮料>地方特产>四川,食品
jd,1589,食品饮料>地方特产>新疆,食品
jd,2670,食品饮料>地方特产>云南,食品
jd,5019,食品饮料>进口食品(父级类目),食品
jd,5020,食品饮料>进口食品>饼干蛋糕,食品
jd,5023,食品饮料>进口食品>冲调品,食品
jd,15055,食品饮料>进口食品>方便食品,食品
jd,15053,食品饮料>进口食品>咖啡,饮料
jd,5024,食品饮料>进口食品>米面调味,食品
jd,12215,食品饮料>进口食品>牛奶乳品,饮料
jd,15051,食品饮料>进口食品>水,饮料
jd,5021,食品饮料>进口食品>糖果/巧克力,食品
jd,5022,食品饮料>进口食品>休闲零食,食品
jd,15052,食品饮料>进口食品>饮料,饮料
jd,15054,食品饮料>进口食品>油,食品
jd,1584,食品饮料>粮油调味(父级类目),食品
jd,2679,食品饮料>粮油调味>方便食品,食品
jd,13760,食品饮料>粮油调味>烘焙原料,食品
jd,2675,食品饮料>粮油调味>米,食品
jd,13789,食品饮料>粮油调味>面,食品
jd,2678,食品饮料>粮油调味>南北干货,食品
jd,2676,食品饮料>粮油调味>食用油,食品
jd,2677,食品饮料>粮油调味>调味品,食品
jd,2680,食品饮料>粮油调味>有机食品,食品
jd,13790,食品饮料>粮油调味>杂粮,食品
jd,12202,食品饮料>茗茶(父级类目),饮料
jd,12213,食品饮料>茗茶>白茶,饮料
jd,12212,食品饮料>茗茶>黑茶,饮料
jd,12207,食品饮料>茗茶>红茶,饮料
jd,12209,食品饮料>茗茶>花草茶,饮料
jd,12210,食品饮料>茗茶>花果茶,饮料
jd,12205,食品饮料>茗茶>龙井,饮料
jd,12206,食品饮料>茗茶>绿茶,饮料
