source,cid,category description,sub_batch_name
jd,17308,食品饮料>茗茶>茉莉花茶,饮料
jd,12204,食品饮料>茗茶>普洱,饮料
jd,12214,食品饮料>茗茶>其它茶,饮料
jd,12203,食品饮料>茗茶>铁观音,饮料
jd,12208,食品饮料>茗茶>乌龙茶,饮料
jd,12211,食品饮料>茗茶>养生茶,饮料
jd,2641,食品饮料>食品礼券(父级类目),食品
jd,2643,食品饮料>食品礼券>大闸蟹,食品
jd,12216,食品饮料>食品礼券>卡券,食品
jd,2642,食品饮料>食品礼券>月饼,食品
jd,4935,食品饮料>食品礼券>粽子,食品
jd,1583,食品饮料>休闲食品(父级类目),食品
jd,1595,食品饮料>休闲食品>饼干蛋糕,食品
jd,1591,食品饮料>休闲食品>坚果炒货,食品
jd,1593,食品饮料>休闲食品>蜜饯果干,食品
jd,15050,食品饮料>休闲食品>膨化食品,食品
jd,1592,食品饮料>休闲食品>肉干肉脯,食品
jd,13757,食品饮料>休闲食品>熟食腊味,食品
jd,1594,食品饮料>休闲食品>糖果/巧克力,食品
jd,7121,食品饮料>休闲食品>无糖食品,食品
jd,1590,食品饮料>休闲食品>休闲零食,食品
jd,1585,食品饮料>饮料冲调(父级类目),饮料
jd,12201,食品饮料>饮料冲调>成人奶粉,饮料
jd,1601,食品饮料>饮料冲调>冲饮谷物,饮料
jd,12200,食品饮料>饮料冲调>蜂蜜/柚子茶,饮料
jd,3986,食品饮料>饮料冲调>咖啡/奶茶,饮料
jd,9434,食品饮料>饮料冲调>牛奶乳品,饮料
jd,1599,食品饮料>饮料冲调>葡萄酒,饮料
jd,1602,食品饮料>饮料冲调>饮料,饮料
jd,10975,食品饮料>饮料冲调>饮用水,饮料
jd,4980,食品饮料>赠品(父级类目),食品
jd,4992,食品饮料>赠品>赠品,食品
tmall,50026800,保健食品/膳食营养补充食品(父级类目),食品
tmall,123454001,保健食品/膳食营养补充食品>保健食品,食品
tmall,123378001,保健食品/膳食营养补充食品>海外膳食营养补充食品(父级类目),食品
tmall,50026805,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白(父级类目),食品
tmall,50026821,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>氨基酸,食品
tmall,50026824,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>大豆分离蛋白,食品
tmall,50026859,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>谷氨酰胺,食品
tmall,50026822,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>骨胶原蛋白,食品
tmall,50026829,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>混合蛋白,食品
tmall,50026826,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>胶原蛋白,食品
tmall,50026825,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>精氨酸,食品
tmall,50026823,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>乳清蛋白,食品
tmall,50026831,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>肽类,食品
tmall,50026857,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>褪黑素/松果体素,食品
tmall,50026828,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>鱼蛋白,食品
tmall,50026830,保健食品/膳食营养补充食品>海外膳食营养补充食品>蛋白粉/氨基酸/胶原蛋白>支链氨基酸,食品
tmall,50026808,保健食品/膳食营养补充食品>海外膳食营养补充食品>动物精华/提取物(父级类目),食品
tmall,50026847,保健食品/膳食营养补充食品>海外膳食营养补充食品>动物精华/提取物>袋鼠精,食品
tmall,125688015,保健食品/膳食营养补充食品>海外膳食营养补充食品>动物精华/提取物>蜂胶/蜂产品,食品
tmall,50026849,保健食品/膳食营养补充食品>海外膳食营养补充食品>动物精华/提取物>林蛙油提取物,食品
tmall,50026848,保健食品/膳食营养补充食品>海外膳食营养补充食品>动物精华/提取物>鹿产品提取物,食品
tmall,50026844,保健食品/膳食营养补充食品>海外膳食营养补充食品>动物精华/提取物>牛初乳,食品
tmall,50026845,保健食品/膳食营养补充食品>海外膳食营养补充食品>动物精华/提取物>羊胎盘提取物,食品
tmall,201185801,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外保健机能食品(父级类目),食品
tmall,201185702,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外保健机能食品>海外保健机能饼干,食品
tmall,201186602,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外保健机能食品>海外保健机能代餐,食品
tmall,201187802,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外保健机能食品>海外保健机能即饮,食品
tmall,201186603,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外保健机能食品>海外保健机能软糖,食品
tmall,201188301,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外保健机能食品>海外保健机能啫喱,食品
tmall,201307303,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外运动纤体食品(父级类目),食品
tmall,201308308,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外运动纤体食品>海外保健体重管理,食品
tmall,201303507,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外运动纤体食品>海外保健运动提能,食品
tmall,201301409,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外运动纤体食品>海外保健运动修复,食品
tmall,50026803,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类(父级类目),食品
tmall,50026873,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>氨基葡萄糖,食品
tmall,50026866,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>海狗/海豹油,食品
tmall,50026874,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>甲壳素,食品
tmall,50026871,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>角鲨烯,食品
tmall,50026868,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>螺旋藻/藻类提取物,食品
tmall,50026865,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>牡蛎/贝类提取物,食品
tmall,50026867,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>沙丁鱼提取物,食品
tmall,50026869,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>鲨鱼软骨素,食品
tmall,50026864,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>虾青素,食品
tmall,50026872,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>鱼油/深海鱼油,食品
tmall,50026863,保健食品/膳食营养补充食品>海外膳食营养补充食品>海洋生物类>珍珠粉,食品
tmall,50026804,保健食品/膳食营养补充食品>海外膳食营养补充食品>菌/菇/微生物发酵(父级类目),食品
tmall,201468201,保健食品/膳食营养补充食品>海外膳食营养补充食品>菌/菇/微生物发酵>NAD+前体营养补充剂,食品
tmall,50026887,保健食品/膳食营养补充食品>海外膳食营养补充食品>菌/菇/微生物发酵>辅酶Q10,食品
tmall,50026891,保健食品/膳食营养补充食品>海外膳食营养补充食品>菌/菇/微生物发酵>红曲,食品
tmall,50026893,保健食品/膳食营养补充食品>海外膳食营养补充食品>菌/菇/微生物发酵>酵素,食品
tmall,50026892,保健食品/膳食营养补充食品>海外膳食营养补充食品>菌/菇/微生物发酵>益生菌,食品
tmall,127764006,保健食品/膳食营养补充食品>海外膳食营养补充食品>丽人海外膳补,食品
tmall,123634001,保健食品/膳食营养补充食品>海外膳食营养补充食品>其他膳食营养补充食品(父级类目),食品
tmall,50050237,保健食品/膳食营养补充食品>海外膳食营养补充食品>其他膳食营养补充食品>其他膳食营养补充剂,食品
tmall,50026809,保健食品/膳食营养补充食品>海外膳食营养补充食品>其他膳食营养补充食品>膳食补充剂型饮料,食品
tmall,50026806,保健食品/膳食营养补充食品>海外膳食营养补充食品>膳食纤维/碳水化合物(父级类目),食品
tmall,50026906,保健食品/膳食营养补充食品>海外膳食营养补充食品>膳食纤维/碳水化合物>低聚糖/寡糖,食品
tmall,50026904,保健食品/膳食营养补充食品>海外膳食营养补充食品>膳食纤维/碳水化合物>膳食纤维/果蔬纤维,食品
tmall,50026905,保健食品/膳食营养补充食品>海外膳食营养补充食品>膳食纤维/碳水化合物>生物多糖,食品
tmall,50026802,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质(父级类目),食品
tmall,50026917,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>B族维生素,食品
tmall,50026926,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>复合维生素/矿物质,食品
tmall,50026918,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>钙,食品
tmall,50026915,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>钙镁,食品
tmall,50026922,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>钙铁锌,食品
tmall,127066001,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>生物素,食品
tmall,50026916,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>铁,食品
tmall,50026925,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>维生素A/胡萝卜素,食品
tmall,50026914,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>维生素AD,食品
tmall,50026924,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>维生素C,食品
tmall,50026923,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>维生素D,食品
tmall,50026919,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>维生素E/小麦胚芽油,食品
tmall,50026920,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>维生素E+C,食品
tmall,50026913,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>维生素K,食品
tmall,50026912,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>硒,食品
tmall,50026928,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>锌,食品
tmall,50026927,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>叶酸,食品
tmall,50026921,保健食品/膳食营养补充食品>海外膳食营养补充食品>维生素/矿物质>左旋肉碱,食品
tmall,201221009,保健食品/膳食营养补充食品>海外膳食营养补充食品>营养包,食品
tmall,50050227,保健食品/膳食营养补充食品>海外膳食营养补充食品>脂肪酸/脂类(父级类目),食品
tmall,50050228,保健食品/膳食营养补充食品>海外膳食营养补充食品>脂肪酸/脂类>DHA/EPA/DPA,食品
tmall,50050229,保健食品/膳食营养补充食品>海外膳食营养补充食品>脂肪酸/脂类>亚麻酸,食品
tmall,50026807,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物(父级类目),食品
tmall,50026952,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>pycnogenol.碧萝芷,食品
tmall,50026960,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>参类提取物,食品
tmall,50026961,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>茶多酚/茶族,食品
tmall,50026947,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>大豆异黄酮,食品
tmall,50026971,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>大蒜提取物,食品
tmall,50026953,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>番茄红素,食品
tmall,50026950,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>葛根,食品
tmall,50026975,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>蓟类,食品
tmall,50026949,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>锯棕榈,食品
tmall,50026972,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>苦瓜提取物,食品
tmall,50026957,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>芦荟,食品
tmall,50026965,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>卵磷脂,食品
tmall,122312004,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>玛咖提取物,食品
tmall,50026974,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>蔓越莓,食品
tmall,50026969,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>玫瑰精油,食品
tmall,50026955,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>木瓜提取物,食品
tmall,50026956,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>纳豆提取物,食品
tmall,50026951,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>南瓜/南瓜籽,食品
tmall,50026970,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>苹果酸,食品
tmall,50026966,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>葡萄籽提取物,食品
tmall,50026963,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>蒲公英,食品
tmall,50026946,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>其它植物提取物,食品
tmall,50026962,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>沙棘,食品
tmall,50026959,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>蛇麻草,食品
tmall,50026976,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>圣约翰草提取物,食品
tmall,50026954,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>叶黄素,食品
tmall,50026964,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>银杏/人参银杏,食品
tmall,50026968,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>月见草油,食品
tmall,50026967,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>越橘/蓝莓提取物,食品
tmall,50026958,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>紫花苜蓿,食品
tmall,50026948,保健食品/膳食营养补充食品>海外膳食营养补充食品>植物精华/提取物>紫锥菊提取物,食品
tmall,125046003,保健食品/膳食营养补充食品>普通膳食营养食品(父级类目),食品
tmall,125076012,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白(父级类目),食品
tmall,125072025,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白>氨基酸/运动营养,食品
tmall,125088021,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白>大豆分离蛋白/混合蛋白,食品
tmall,125060018,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白>胶原蛋白,食品
tmall,125044023,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白>乳清蛋白,食品
tmall,125046030,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白>肽类,食品
tmall,125100024,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白>褪黑素/蛇麻草/圣约翰草,食品
tmall,125048019,保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物(父级类目),食品
tmall,125084030,保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>袋鼠精,食品
tmall,125076013,保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>牛初乳,食品
tmall,125040021,保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>普通动物提取物,食品
tmall,125112017,保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类(父级类目),食品
tmall,125060017,保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>氨糖软骨素/骨胶原,食品
tmall,125088020,保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>螺旋藻/藻类提取物,食品
tmall,125096013,保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>牡蛎/贝类提取物,食品
tmall,125078022,保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>普通海洋生物提取物,食品
tmall,125102017,保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>鱼油/深海鱼油,食品
tmall,125044020,保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素(父级类目),食品
tmall,125114014,保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>辅酶Q10,食品
tmall,125084029,保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>猴头菇/普通菌菇提取物,食品
tmall,125032016,保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>酵素,食品
tmall,125036023,保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>益生菌,食品
tmall,127026004,保健食品/膳食营养补充食品>普通膳食营养食品>能量补充剂型饮料(父级类目),食品
tmall,201379616,保健食品/膳食营养补充食品>普通膳食营养食品>能量补充剂型饮料>保健品饮品,食品
tmall,125088017,保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品(父级类目),食品
tmall,125080031,保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品>其他膳食营养补充剂,食品
tmall,201301730,保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品>润喉糖,食品
tmall,125094021,保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品>膳食补充剂型饮料,食品
tmall,125074022,保健食品/膳食营养补充食品>普通膳食营养食品>膳食纤维/碳水化合物(父级类目),食品
tmall,125100021,保健食品/膳食营养补充食品>普通膳食营养食品>膳食纤维/碳水化合物>低聚糖/寡糖/低GI,食品
tmall,125114017,保健食品/膳食营养补充食品>普通膳食营养食品>膳食纤维/碳水化合物>膳食纤维/果蔬纤维,食品
tmall,125038025,保健食品/膳食营养补充食品>普通膳食营养食品>膳食纤维/碳水化合物>生物多糖,食品
tmall,125104021,保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒(父级类目),食品
tmall,125038023,保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>钙铁锌/钙镁,食品
tmall,125032015,保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>维生素/复合维生素,食品
tmall,125104023,保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>锌/铁/硒,食品
tmall,125046029,保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>叶酸,食品
tmall,125026023,保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>左旋肉碱,食品
tmall,125048007,保健食品/膳食营养补充食品>普通膳食营养食品>运动营养食品(父级类目),食品
tmall,125098004,保健食品/膳食营养补充食品>普通膳食营养食品>运动营养食品>耐力类,食品
tmall,125104008,保健食品/膳食营养补充食品>普通膳食营养食品>运动营养食品>速度力量类,食品
tmall,125084044,保健食品/膳食营养补充食品>普通膳食营养食品>运动营养食品>特殊用途饮料,食品
tmall,125038007,保健食品/膳食营养补充食品>普通膳食营养食品>运动营养食品>运动后恢复类,食品
tmall,125112019,保健食品/膳食营养补充食品>普通膳食营养食品>脂肪酸/脂类(父级类目),食品
tmall,125056020,保健食品/膳食营养补充食品>普通膳食营养食品>脂肪酸/脂类>DHA/EPA/DPA亚麻酸,食品
tmall,125056015,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物(父级类目),食品
tmall,201271878,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>大豆异黄酮,食品
tmall,125036027,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>葛根,食品
tmall,125088024,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>灵芝/参类/石斛提取物,食品
tmall,125076017,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>芦荟,食品
tmall,125094020,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>玛咖提取物,食品
tmall,125104027,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>蔓越莓,食品
tmall,125098025,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>木瓜提取物,食品
tmall,125098026,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>纳豆提取物,食品
tmall,125092022,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>葡萄籽提取物,食品
tmall,125030021,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>普通植物提取物,食品
tmall,125056023,保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>叶黄素/蓝莓/越橘提取物,食品
tmall,125014001,保健食品/膳食营养补充食品>特殊医学用途配方食品(父级类目),食品
tmall,125112004,保健食品/膳食营养补充食品>特殊医学用途配方食品>特殊医学用途食品(父级类目),食品
tmall,125076004,保健食品/膳食营养补充食品>特殊医学用途配方食品>特殊医学用途食品>特殊医学用途食品,食品
tmall,125054005,保健食品/膳食营养补充食品>特殊医学用途配方食品>特殊医学用途食品>特殊医学用途婴儿配方食品,食品
tmall,124458005,茶(父级类目),饮料
tmall,124508011,茶>白茶(新)(父级类目),饮料
tmall,124510010,茶>白茶(新)>白毫银针,饮料
tmall,124486012,茶>白茶(新)>白牡丹,饮料
tmall,124488014,茶>白茶(新)>贡眉,饮料
tmall,124462015,茶>白茶(新)>其它白茶,饮料
tmall,124466012,茶>白茶(新)>寿眉,饮料
tmall,201319503,茶>茶粉/茶膏/茶精/茶液/茶蜜,饮料
tmall,201219307,茶>茶提货券(父级类目),饮料
tmall,201231504,茶>茶提货券>白茶提货券,饮料
tmall,201222613,茶>茶提货券>黑茶提货券,饮料
tmall,201220714,茶>茶提货券>红茶提货券,饮料
tmall,201229708,茶>茶提货券>花草茶/代用茶提货券,饮料
tmall,201223312,茶>茶提货券>黄茶提货券,饮料
tmall,201220611,茶>茶提货券>绿茶提货券,饮料
tmall,201217910,茶>茶提货券>普洱提货券,饮料
tmall,201228509,茶>茶提货券>乌龙茶提货券,饮料
tmall,124388001,茶>代用/花草/水果/再加工茶(父级类目),饮料
tmall,50008612,茶>代用/花草/水果/再加工茶>代用/花草茶,饮料
tmall,50010421,茶>代用/花草/水果/再加工茶>花果果粒茶,饮料
tmall,50016236,茶>代用/花草/水果/再加工茶>再加工茶/配方茶/调味茶,饮料
tmall,124390001,茶>代用/花草/水果/再加工茶>组合型花茶,饮料
tmall,124494008,茶>黑茶(新)(父级类目),饮料
tmall,124484016,茶>黑茶(新)>安化黑茶,饮料
tmall,124484015,茶>黑茶(新)>六堡茶,饮料
tmall,124456024,茶>黑茶(新)>其它黑茶,饮料
tmall,124386002,茶>红茶（新）(父级类目),饮料
tmall,124392004,茶>红茶（新）>滇红,饮料
tmall,124372005,茶>红茶（新）>金骏眉,饮料
tmall,124360005,茶>红茶（新）>祁门红茶,饮料
tmall,124392005,茶>红茶（新）>其它红茶,饮料
tmall,124348004,茶>红茶（新）>正山小种,饮料
tmall,50016235,茶>黄茶,饮料
tmall,124636001,茶>绿茶（新）(父级类目),饮料
tmall,124636002,茶>绿茶（新）>安吉白茶,饮料
tmall,124630003,茶>绿茶（新）>碧螺春,饮料
tmall,201306906,茶>绿茶（新）>峨眉山茶,饮料
tmall,124646001,茶>绿茶（新）>黄山毛峰,饮料
tmall,124642001,茶>绿茶（新）>六安瓜片,饮料
tmall,124644001,茶>绿茶（新）>龙井茶（非西湖）,饮料
tmall,124648001,茶>绿茶（新）>其它绿茶,饮料
tmall,124630002,茶>绿茶（新）>日照绿茶,饮料
tmall,124640001,茶>绿茶（新）>太平猴魁,饮料
tmall,124638001,茶>绿茶（新）>西湖龙井,饮料
tmall,124642002,茶>绿茶（新）>信阳毛尖,饮料
tmall,50598001,茶>普洱,饮料
tmall,124392002,茶>乌龙茶（新）(父级类目),饮料
tmall,124350003,茶>乌龙茶（新）>大红袍,饮料
tmall,124374002,茶>乌龙茶（新）>凤凰单丛,饮料
tmall,124334003,茶>乌龙茶（新）>黑乌龙,饮料
tmall,124332006,茶>乌龙茶（新）>其它乌龙茶,饮料
tmall,124358002,茶>乌龙茶（新）>台湾高山茶,饮料
tmall,124356006,茶>乌龙茶（新）>铁观音,饮料
tmall,50020275,传统滋补营养品(父级类目),食品
tmall,50015219,传统滋补营养品>阿胶膏方(父级类目),食品
tmall,50015221,传统滋补营养品>阿胶膏方>阿胶膏/固元膏,食品
tmall,50015222,传统滋补营养品>阿胶膏方>阿胶浆,食品
tmall,50528001,传统滋补营养品>阿胶膏方>阿胶块,食品
tmall,50015223,传统滋补营养品>阿胶膏方>阿胶原粉,食品
tmall,50012191,传统滋补营养品>阿胶膏方>阿胶制品,食品
