平台,sid,店铺名,url
ali,194129417,GIORGIO ARMANI官方旗舰店,https://shop344328377.taobao.com/
jd,12278572,Fkmalls海外旗舰店,http://mall.jd.com/index-12278572.html
jd,15311429,DAVIDOFF美妆护肤旗舰店,http://mall.jd.com/index-15311429.html
jd,1000484860,HERMES爱马仕香水美妆京东自营官方旗舰店,http://mall.jd.com/index-1000484860.html
